run_id,project,run_name,dataset,seed,runtime_mins,top_k,agent_model,method,final_score,ppo_used,rollouts,rollouts_budget,cs,ca,metric,optimizer_name,optimization_surface,metaprompt_style,num_fewshot,batch_size,prompt_per_example,train_size,epochs,top_k_prompts,valset_size,num_iterations,global_step,total_iterations,test_size,input_tokens,output_tokens,real_cost_usd,estimated_cost_usd
trvbqp3c,hotpotqa-dynamic-fewshot,hotpot_qwen_subset50_20iter,HOTPOTQA,,223.68,1.0,Qwen3-8B,FSPO,61.33,False,,,,,,,,,,,,,,,,,,,300.0,,,,
ssdrk8c5,hotpotqa-dynamic-fewshot,hotpot_gpt_subset50_20iter,HOTPOTQA,,33.97,1.0,GPT-4o-mini,FSPO,29.67,False,,,,,,,,,,,,,,,,,,,300.0,,,,
89wk61np,hotpotqa-dynamic-fewshot,hotpot_gpt_subset50_20iter,HOTPOTQA,,137.1,1.0,GPT-4.1-mini,FSPO,59.0,False,,,,,,,,,,,,,,,,,,,300.0,,,,
3y0tizlv,pupa-dynamic-fewshot-origin,pupa_qwen_nobase_dual_20iter,PUPA,,153.75,1.0,Qwen3-8B,FSPO,85.52,False,,,,,,,,,,,,,,,,20.0,,,,,,,
n7o1crf6,pupa-dynamic-fewshot-origin,pupa_qwen_nobase_subset45_20iter,PUPA,,133.2,1.0,Qwen3-8B,FSPO,90.02,False,,,,,,,,,,,,,,,,20.0,,,,,,,
tituojj7,pupa-dynamic-fewshot-origin,pupa_qwen_nobase_subset45_20iter,PUPA,,128.4,1.0,Qwen3-8B,FSPO,85.76,False,,,,,,,,,,,,,,,,20.0,,,,,,,
lxu11kps,pupa-dynamic-fewshot-origin,pupa_gpt_nobase_subset45_20iter,PUPA,,36.5,1.0,GPT-4o-mini,FSPO,87.77,False,,,,,,,,,,,,,,,,20.0,,,,0.0,0.0,,0.0
8w0rp3f1,pupa-dynamic-fewshot-origin,pupa_gpt_nobase_subset45_20iter,PUPA,,35.2,1.0,GPT-4o-mini,FSPO,85.54,False,,,,,,,,,,,,,,,,20.0,,,,5096511.0,1402620.0,,1.60604865
p16uyuga,pupa-dynamic-fewshot-origin,pupa_gpt_nobase_subset45_20iter,PUPA,,60.22,1.0,GPT-4.1-mini,FSPO,94.09,False,,,,,,,,,,,,,,,,20.0,,,,6325719.0,2018796.0,,2.1601354500000003
k2shybp0,pupa-baseline-origin,baseline_gpt_threads32,PUPA,,5.13,1.0,GPT-4o-mini,Baseline,70.58,False,,,,,,,,,,,,,,,,,,,221.0,,,,
wh053i5b,pupa-baseline-origin,baseline_gpt_threads32,PUPA,,4.05,1.0,GPT-4o-mini,Baseline,65.61,False,,,,,,,,,,,,,,,,,,,221.0,,,,
oqbgmlt4,pupa-baseline-origin,baseline_gpt_threads32,PUPA,,0.28,1.0,GPT-4o-mini,Baseline,70.38,False,,,,,,,,,,,,,,,,,,,221.0,,,,
ejlr2v2k,pupa-baseline-origin,baseline_gpt_threads32,PUPA,,0.53,1.0,GPT-4o-mini,Baseline,70.54,False,,,,,,,,,,,,,,,,,,,221.0,,,,
ofl6ztsd,pupa-baseline-origin,baseline_gpt_threads32,PUPA,,0.2,1.0,GPT-4o-mini,Baseline,70.23,False,,,,,,,,,,,,,,,,,,,221.0,,,,
cs1mo2br,pupa-baseline-origin,baseline_gpt_threads32_breakdown,PUPA,,0.27,1.0,GPT-4o-mini,Baseline,70.66,False,,,,,,,,,,,,,,,,,,,221.0,,,,
kd87hy29,pupa-baseline-origin,baseline_gpt_threads32_breakdown,PUPA,,6.05,1.0,GPT-4.1-mini,Baseline,77.37,False,,,,,,,,,,,,,,,,,,,221.0,,,,
wqp8lojs,hover-dynamic-fewshot,dynamic_fewshot_gpt41mini_20iter_3shot,HOVER,,31.48,1.0,GPT-4.1-mini,FSPO,45.67,False,600.0,,,,gepa_artifact.benchmarks.hover.hover_utils.discrete_retrieval_eval,,four_predictor_instructions,four_stage_multi_hop_retrieval,3.0,,,,,1.0,30.0,20.0,,20.0,300.0,,,,
